Model,Sampling,AUC-ROC,AUC-ROC_std,Accuracy,Accuracy_std,Precision,Precision_std,Recall,Recall_std,F1,F1_std,Training_Time,Best_Params
GradientBoosting,smote_tomek,0.9444417548681431,0.0024467359128819716,0.8709469168150672,0.007425891135099191,0.8632339954173649,0.005051320162139983,0.8815332108164873,0.01151923438755884,0.8722692120614063,0.007845813363202166,151.3437044620514,"{'n_estimators': 506, 'max_depth': 8, 'learning_rate': 0.037662183456093366, 'subsample': 0.9823743551045159, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 6}"
CatBoost,smote_tomek,0.9424360134216976,0.0029689402266586534,0.8670195247491279,0.007465075636052508,0.8637373197728959,0.008554605092962306,0.8716309325865639,0.012395054381042865,0.8676059869503823,0.007823926047724269,2904.8203163146973,"{'iterations': 1299, 'depth': 12, 'learning_rate': 0.1285139843996024, 'l2_leaf_reg': 16, 'border_count': 242, 'bagging_temperature': 0, 'random_strength': 4}"
AdaBoost,smote_tomek,0.9367797139939507,0.002720507586062878,0.853192190100349,0.004251019419245419,0.8368548177044236,0.003081102588257124,0.8774353140223446,0.006091505137961961,0.8566607124707261,0.00434528976718082,116.46344351768494,"{'n_estimators': 1089, 'learning_rate': 1.579091444163584, 'algorithm': 'SAMME'}"
